sid,trail_name,trail_img,trail_describ,trail_short_describ,trail_timetable,trail_time,geo_location_sid,geo_location_town_sid,difficulty_list_sid,coupon_status,price,memo,equipment,trails_display,trail_length,trail_height,trail_gpx
101,合歡北峰步道,101-1.jpg,"合歡北峰（又稱北合歡山）位於太魯閣國家公園西界，海拔3422公尺，為合歡山群最高峰，十崇之一，台灣百岳排名第32。
 
 由小風口附近的登山口沿稜線上行的一公里坡度稍陡，每年五到六月紅毛杜鵑盛開的季節，這裡也是最佳的賞花地點，還有連綿的箭竹草坡有如阿爾卑斯山的草原直達天際。接近山頂的稜線上，豎立了一座巨型的反射板，是合歡北峰最明顯的標誌，之後視野愈來愈開闊，有時可以欣賞到在山谷翻滾的雲海。山頂更是展望絕佳，玉山、雪山、合歡群峰、奇萊和南湖等遠近群山都可盡收眼底，天氣晴朗時很適合在此欣賞日出與日落。
 
 除了西峰之外，合歡北峰和其他合歡群峰皆屬於台灣最容易親近的高山，不少人都是由此開啟了百岳健行之路，進階者還可以挑戰由北峰下天巒池或連走西峰（原路往返或下華崗）等路線，是一條可長可短、交通便利的郊山化百岳。",合歡北峰（又稱北合歡山）位於太魯閣國家公園西界，海拔3422公尺，為合歡山群最高峰，十崇之一，台灣百岳排名第32。,"台14甲線36.7公里處→（1.3K, 80分鐘）→反射板→（0.5K, 20分鐘）→天巒池叉路口→（0.2K, 7分鐘）→合歡北峰→（0.2K, 3分鐘）→天巒池叉路口→（0.5K, 20分鐘）→反射板→（1.3K, 50分鐘）→台14甲線36.7公里處",3,南投縣,仁愛鄉,1,0,500,"1.爬合歡北峰或西峰需向警察機關辦理入山證，可利用網路或親自至太魯閣國家公園警察隊合歡小隊辦理。
 
 2.從合歡北峰續行至合歡西峰路程遙遠，步行時間（輕裝往返北峰與西峰）需再增加五小時以上，若無充足的體力和裝備，請勿冒然前往。
 
 3.合歡北峰沿途缺乏樹蔭遮蔽，在晴朗炙熱的天氣，要特別注意防曬；山區下午容易起霧，建議選擇上午或天氣晴朗時攀登，以免迷路。",,,2公里,3422公尺,合歡北峰步道.gpx
102,溪頭觀景步道,102-1.jpg,"溪頭就像中部人的後花園，不論天氣熱、天氣冷，想親近大自然的時候，跳上車往溪頭奔去就對了。
 
 進入園區，除了熱門的大學池與空中走廊，別忘了也到附近的觀景步道活動筋骨，此步道全程用碎石子與木屑鋪設而成，坡度平緩，舒適又好走。
 
 既名為觀景步道，當然是相當有看頭，沿途除了觀賞排排站立的柳杉與楓樹林外，也可以眺望平坦翠綠的苗圃。靜心稍候，將會發現各種鳥兒、松鼠在身旁快樂地活動，走在雲霧繚繞的樹林間，彷彿我們也是森林裡的一份子。",溪頭就像中部人的後花園，不論天氣熱、天氣冷，想親近大自然的時候，跳上車往溪頭奔去就對了。,草坪區露天音樂會場→(12分鐘)→涼亭→(8分鐘)→大學池,0.33,南投縣,鹿谷鄉,1,1,500,"1.步道位於溪頭自然教育園區內，進入園區須購買門票。
 2.此區經常飄雨，請攜帶雨具。
 3.請勿隨意丟棄垃圾、餵食野生動物或摘取植物。",,,1.1公里,1233公尺,溪頭觀景步道.gpx
103,品田山單日往返,103-1.jpg,"坐落於武陵農場北方、屬於雪山東北稜脈的品田山（3524公尺）、池有山（3303公尺）、桃山（3325公尺）與喀拉業山（3133公尺），在岳界被合稱為「武陵四秀」。
 
 攀登這四座各具特色的山頭，須從武陵山莊起登，其中又分為兩條路線：池有山步道與桃山步道，若擇一條上山而另一條下山，標準行程需時三天。而登山經驗豐富、對路況熟悉且體能過人之山友，則可挑戰由池有山步道經前往品田山，並於當日返回武陵山莊。
 
 品田山是武陵四秀之最高峰，為台灣百岳名山的「十峻」之一，山頂有著以險峻聞名於岳界的「品田斷崖」，向西北可眺望桃園都會區，往東則可俯瞰蘭陽平原，甚至在天氣晴朗時有機會看見海上的龜山島。
 
 注意：由於行進時間極長，會有摸黑時段，請務必備妥頭燈及保暖衣物等裝備，此外，若上午 10:00 前未抵達新達山屋則建議原路撤退。",坐落於武陵農場北方、屬於雪山東北稜脈的品田山（3524公尺）、池有山（3303公尺）、桃山（3325公尺）與喀拉業山（3133公尺），在岳界被合稱為「武陵四秀」。,武陵山莊→（3.5K，70分鐘）→池有山登山口→（3.5K，420分鐘）→三岔營地→（0.5K，60分鐘）→新達山屋→（1.6K，120分鐘）→品田山→（1.6K，80分鐘）→新達山屋→（1.5K，65分鐘）→三岔營地→（3.5K，300分鐘）→池有山登山口→（3.5K，55分鐘）→武陵山莊,19.5,臺中市,和平區,3,0,2150,"1. 品田山單攻為高難度路線，海拔落差極大且路線距離長，非常考驗體能與腿力，若非經驗豐富且對路況熟悉之山友請勿貿然嘗試。
 
 2. 由於行進時間極長，會有摸黑時段，請務必備妥頭燈及保暖衣物等裝備，此外，若上午 10:00 前未抵達新達山屋則建議原路撤退。
 
 3. 本路線位於國家公園內，需在預定入園日期前5日至前2個月於網路上申請入園證。
 
 4. 品田山登頂前有一座品田前峰斷崖(V斷)，攀登時需須注意安全，雪季時若無經過訓練不宜攀登。
 
 5. 本網頁登載之行進時間為上河地圖所建議，實際上依個人能力可能差異甚大，可參照自己過去攀登相同路線之行進時間進行估算。
 
 6. 可由距離三岔營地 100 公尺處順登池有山，來回共 400 公尺，需時約 35 分鐘。",,,10.1公里,3524公尺,品田山單攻.gpx
104,鳶嘴稍來山國家步道,104-1.jpg,"鳶嘴稍來國家步道為中部地區中海拔熱門登山路線，鳶嘴山、稍來山，是可以分開走的兩條步道，其中鳶嘴山以險峻危崖出名，而稍來山以秋天滿佈的台灣紅榨槭為名，兩山連走沿途峭壁綿延、景觀秀麗。
 
 船形山、鞍馬山位於大雪山森林遊樂區內，雪山山脈中末段稜脊，由稍來小雪山國家步道串連，從35.2k收票亭附近登山口起登，至49k小雪山遊客服務中心停車場，本路段長約10公里。",鳶嘴稍來國家步道為中部地區中海拔熱門登山路線，鳶嘴山、稍來山，是可以分開走的兩條步道，其中鳶嘴山以險峻危崖出名，而稍來山以秋天滿佈的台灣紅榨槭為名，兩山連走沿途峭壁綿延、景觀秀麗。,"鳶嘴山登山口/大雪山林道27K→(1.2K, 80分鐘)→鳶嘴山→(2.0K, 130分鐘)→稍來山→(2.0K, 50分鐘)→大雪山林道35.1K收費站→(2.5K, 70分鐘)→船形山→(3.7K, 120分鐘)→瞭望台→(1.8K, 50分鐘)→鞍馬山→(2.0K, 40分鐘)→小雪山遊客服務中心停車場",9,臺中市,和平區,2,1,1100,"1.大雪山森林遊樂區園區資訊如下
 開放時間：上午6:30～下午5:00
 門票：全票(假日)200元、一般優待票(平日)150元、半票100元(軍警、學生等)、優待票10元(65歲以上、3~6歲兒童等)、免費(殘障、0~2歲兒童、志工等)。
 停車費：汽車100元、機車20元。
 2. 鳶嘴山陡峭，須攀岩，走起來驚險萬分，懼高症者請自行評估是否可行。
 3.鞍馬山基石在軍營內，請勿擅自闖進入內。",,,15.2公里,2600公尺,鳶嘴稍來.gpx
105,玉山主峰步道,105-1.jpg,"玉山主峰位於台灣的中心位置，海拔3952公尺，為台灣群山之首，百岳排名第一，也是東北亞的最高峰。主峰四周有東、南、西、北峰環繞，外圍還有前峰、小南山、南玉山、東小南山、鹿山與北北峰遙相呼應，宛如眾星拱月般，襯托出主峰的王者之尊，壯偉雄奇的山容、絕佳的展望和絢麗的日出景觀，吸引了無數的中外登山客前來攀登，近年來更成為台灣人一生必須完成的三件事之一。
 
 登山路線主要有二條：東側的「八通關線」由東埔入山，因落差較大和部份路段坍塌，利用者較少。而西側的「塔塔加鞍部線」有完善的步道、指標和安全設施，通常兩天一夜或兩夜即可完成，途中會經過玉山前峰的登山口，輕裝往返約需兩小時，而西峰距離排雲山莊約2.2公里，上有日人留存的山神祠，來回約150分鐘，若時間和體力充裕，還可順登這兩座高山百岳。
 
 排雲山莊自102年整建完成後，增加為92個床位，並提供睡袋租賃及餐飲等服務，讓民眾可以更輕鬆的方式親近高山，登上台灣的最高峰不再是遙不可及的夢想。",玉山主峰位於台灣的中心位置，海拔3952公尺，為台灣群山之首，百岳排名第一，也是東北亞的最高峰。,"塔塔加鞍部登山口→（1.7K, 50分鐘）→孟祿亭→（1K, 35分鐘）→前峰登山口→（2.8K, 55分鐘）→西峰下觀景台→（1.2K, 60分鐘）→大峭壁→（1.8K, 50分鐘）→排雲山莊→（0.7K, 45分鐘）→主南岔路→（1.5K, 90分鐘）→主北岔路→（0.2K, 25分鐘）→玉山主峰→（2.4K, 100分鐘）→排雲山莊→（3K, 70分鐘）→西峰下觀景台→（3.8K, 65分鐘）→孟祿亭→（1.7K, 35分鐘）→塔塔加鞍部登山口",48,南投縣,信義鄉,2,0,5000,"1.排雲山莊床位有限，必須在「一個月前3日～一個月前」至玉山國家公園網站參與抽籤和入園許可，前兩者通過後再申請入山證。進入本區前，應先向塔塔加警察小隊報到，查驗名冊後始可進入。
 2.玉山主峰風口為碎石坡，坡陡且風勢大，冬季常有積雪，若無雪攀裝備請勿攀登。
 3.「八通關線」是從東埔經八通關古道，夜宿觀高或荖濃溪營地，再由主北峰山麓直攻玉山主峰；也有登山者循「塔塔加鞍部線」登上玉山主峰，再走「八通關線」出東埔下山，通常需要三天二夜才能順利完成；本路段受颱風和地震影響常有坍塌而封閉，行前應向玉管處查詢。",,,10.9公里,3952公尺,玉山主峰步道.gpx
106,奧萬大國家森林遊樂區步道群,106-1.jpg,奧萬大國家森林遊樂區位於中海拔，為一高山河谷地形，多處的臺地是遊樂區的特色地形。氣候冬暖夏涼、舒適宜人，冬楓、春櫻、夏瀑及秋月四季更迭，尤其擁有全台面積最大的天然楓香純林，素有「楓葉的故鄉」美譽。園區內共規劃多條步道，各有特色。,奧萬大國家森林遊樂區位於中海拔，為一高山河谷地形，多處的臺地是遊樂區的特色地形。,"遊客中心→櫻花園步道(0.51K, 15分鐘)→好漢坡步道(0.27K, 10分鐘)→森林公園步道(1.85K, 60分鐘)→賞鳥平台→第一平台步道(0.55K, 15分鐘)→賞鳥步道(0.4K, 10分鐘)→森林公園步道(0.63K, 20分鐘)→楓林步道(0.76K, 20分鐘)→木階梯(0.12K, 5分鐘)→遊客中心→(0.5K, 15分鐘)→調整池→瀑步區步道(0.55K, 15分鐘)→雙瀑觀賞平台→(1K, 30分鐘)→遊客中心",6,南投縣,仁愛鄉,1,1,800,"1. 奧萬大以楓紅聞名，賞楓可從楓林步道走到俯瞰楓香純林的賞鳥平台。楓香純林區因颱風改變河川流徑而封閉，仍可由賞鳥平台或流量管制的奧萬大吊橋欣賞美景。
 
 2. 遊樂區開放時間為8:00~17:00，平日全票150元、假日200元，小型車停車費100元。
 
 3. 園區各步道依季節展現不同風情：瀑布區步道0.55公里、林間步道0.75公里、櫻花園步道0.51公里、好漢坡步道0.27公里、楓林步道1.16公里、賞鳥步道0.4公里、森林公園步道1.4公里、第一平台步道0.55公里、松林區環狀步道0.55公里，共約5.94公里。",,,7公里,2600公尺,
107,大坑4號步道,107-1.jpg,"大坑風景區內共有12條步道，其中1～5號及5-1號共6條步道與頭嵙山相接，整條山稜及支稜皆用相思圓木舖設木棧道並架設扶手，綿延而成著名的「萬里長城」，是全台罕見的特殊步道景觀。
 
 而其中最具挑戰的大坑4號步道，坡度落差頗大，其中一段長約300公尺的垂直陡坡，被稱為「軟腳坡」。踩著圓木步道登上稜線，不僅考驗著登山客的體力、平衡感、還有協調性，4號步道終點即抵達頭嵙山三角點，山頂極佳的視野，可俯瞰台中市區、太平區、新社區、東勢區一帶，秀麗風光是最好的報酬。",大坑風景區內共有12條步道，其中1～5號及5-1號共6條步道與頭嵙山相接，整條山稜及支稜皆用相思圓木舖設木棧道並架設扶手，綿延而成著名的「萬里長城」，是全台罕見的特殊步道景觀。,"中正露營區停車場→(0.9K, 20分鐘)→登山口→(0.4K, 30分鐘)→沁心亭→(0.6K, 45分鐘)→望幽亭→(0.3K, 15分鐘)→清涼亭→(0.6K, 30分鐘)→頭嵙山三角點→原路折返→(0.6K, 20分鐘)→清涼亭→(0.3K, 10分鐘)→望幽亭→(0.6K, 30分鐘)→沁心亭→(0.4K, 20分鐘)→登山口→(0.9K, 20分鐘)→中正露營區停車場",2.67,臺中市,北屯區,1,0,500,"1.大坑4號步道落差頗大具挑戰性，老年、幼童、高血壓患者、懼高症者請自行評估。
 2.行走陡峭的圓木棧道時，建議穿登山鞋、避免穿皮鞋、高跟鞋、平底鞋、涼鞋，以免腳部受傷。女生則避免穿著裙子，以免行動不便，造成困擾。
 3.大坑地區常有小黑蚊出沒，宜穿著長袖長褲，並噴防蚊液防範。
 4.步道常有獼猴出沒，請勿靠近、騷擾、逗弄、挑釁、餵食、食物不外露，快速通過即可。",,,1.9公里,850公尺,大坑4號步道.gpx
108,大坑9、10號步道,108-1.jpg,"大坑風景區位於台中北屯區的郊區，交通便捷，是台中市重要的自然觀光景點，素來有「台中後花園」、「台中陽明山」的美譽。風景區內規劃了1~10號登山步道，難易程度各有不同。9、10號步道為近年來才新建的步道，可經由大坑地震公園進入登山口。
 
 9號步道長約1.5公里，2005年啟用，係由軍方彈藥庫旁之產業道路開闢而成，步道兩旁大多為果園，視野遼闊，可遠眺小百岳南觀音山及三汀山、大里溪景觀與十一期重劃區，適合親子同遊。10號步道長約1.2公里，2008年啟用，林相比9號步道更原始，路線也較為陡峭，但已修築了木棧道及枕木，方便民眾健行。由於9、10號步道平易近人、停車方便，每到假日，登山口周邊便擠滿攤販，賣小吃、衣服、鞋子等，成了熱鬧市集。",大坑風景區位於台中北屯區的郊區，交通便捷，是台中市重要的自然觀光景點，素來有「台中後花園」、「台中陽明山」的美譽。風景區內規劃了1~10號登山步道，難易程度各有不同。9、10號步道為近年來才新建的步道，可經由大坑地震公園進入登山口。,"大坑地震公園登山口→(1.2K, 25分鐘)→木棧道（9號步道）→(0.3K, 10分鐘)→往6號步道觀音亭叉路（9號、10號步道終點）→(0.3K, 5分鐘)→休憩區（10號步道）→(0.7K, 20分鐘)→涼亭（10號步道）→(0.2K, 5分鐘)→大坑地震公園登山口",1.08,臺中市,北屯區,1,1,500,9號及10號步道終點叉路，可通往6號步道的觀音亭及風動石公園，若可解決交通接駁，亦可選擇與6~8號步道連走。,,,2.7公里,320公尺,大坑9、10號步道.gpx
109,八唐縱走,109-1.jpg,"從谷關七雄之首「八仙山」，連走到七雄老么「唐麻丹山」，稱為「八唐縱走」，是谷關七雄裡最精典、最具挑戰性的路線。
 
 八仙山位於十文溪與佳保溪匯流其間，為日據時期三大林場之一。傳統登山口附近因自然生態資源豐富，已闢為國家森林遊樂區，保留有早年的林業人文歷史風情。
 
 八仙山可從松鶴部落及傳統的森林遊樂區登山口二地攀登，而唐麻丹山，也可從松鶴部落或傳統的谷野會館(裡冷部落)登山口起登。幾年前，有山友開發以松鶴部落為中心的八唐縱走O形新路線，可免去八仙山森林遊樂區的接駁與門票費用。全程約15.4K，落差約1800公尺，極具挑戰性，很快就躍身為中部地區，最受歡迎的中級山縱走行程！",從谷關七雄之首「八仙山」，連走到七雄老么「唐麻丹山」，稱為「八唐縱走」，是谷關七雄裡最精典、最具挑戰性的路線。,"松鶴登山口→(0.6k, 30分鐘)→第一電塔→(0.4k, 40分鐘)→第二電塔→(2.1k, 100分鐘)→3.1K岔路口→(0.4k, 40分鐘)→3.5K第二涼亭→(2k, 80分鐘)→流籠頭→(0.5k, 15分鐘)→八仙山主峰→(1.4k, 55分鐘)→2176峰→(1k, 50分鐘)→鞍部空地→(0.9k, 55分鐘)→1843峰→(3.1k, 105分鐘)→唐麻丹山→(1.2k, 35分鐘)→往蝴蝶谷叉路口→(0.8k, 20分鐘)→左右線叉路口→(1k, 30分鐘)→松鶴登山口",10.92,台中市,和平區,2,0,1290,"1. 回程可順遊蝴蝶谷瀑布，於步道3.5公里處轉蝴蝶谷步道，單程2公里，原路往返，來回需約1.5小時。建議可先登頂後至此岔路口，再下行至瀑布，以免因一路爬坡導致體力不堪負荷。
 
 2. 登山前可於八仙山國家森林遊樂區過夜，隔天一早出發，或登山後於八仙山國家森林遊樂區過夜，泡溫泉消除疲勞。
 
 3. 因此路線登山口眾多，建議行前可多閱讀前人記錄做足準備，避免迷途或多走冤枉路。
 
 4.谷關山區登山需申請入山證。波津加、馬崙山、唐麻丹…等，雖未列入顯示在系統中，仍需申請【台中市和平區各里】辦事入山證事宜，以免受罰！",,,15.4公里,2366公尺,谷關七雄之八唐縱走.gpx
110,東卯山步道,110-1.jpg,"東卯山，海拔1692公尺，谷關七雄排名第五，原為台電之保線道路。沿線風景秀麗，生態資源豐富多樣，登山路徑呈和緩的之字坡向上攀升，寬大好走，是座很容易親近的山。
 
 登頂後腹地寬廣，設有大型微波反射板，視野遼闊，擁有360度絕佳的好風光，天氣良好時除可遠眺松鶴部落外，鳶嘴、稍來、新山、馬崙山、八仙山稜脈、唐麻丹山之山巒美景盡收眼底。",東卯山，海拔1692公尺，谷關七雄排名第五，原為台電之保線道路。沿線風景秀麗，生態資源豐富多樣，登山路徑呈和緩的之字坡向上攀升，寬大好走，是座很容易親近的山。,"大道院牌樓→(1K, 20分鐘)→東卯山登山口→(0.7K, 15分鐘)→德芙蘭步道岔路→(1.2K, 30分鐘)→涼亭→(0.6K, 12分鐘)→2.5K木樁左側有展望點→(1K, 20分鐘)→3.5K木樁→(1K, 20分鐘)→4.5K木樁→(1K, 20分鐘)→5.5K木樁→(0.5K, 15分鐘)→6K木樁→(0.2K, 5分鐘)→木梯→(0.3K, 10分鐘)→6.5K木樁→(0.2K, 3分鐘)→東卯山三角點(折返點)→(6.7K, 150分鐘)→東卯山登山口→(1K, 20分鐘)→大道院牌樓",5.67,臺中市,和平區,2,1,760,"1. 東卯山步道可接往德芙蘭及屋我尾山步道。
 2. 雖然小客車可直接開入東卯山登山口，但會車不易，建議還是停在大道院停車場，但必須多走一公里才能抵達登山口。
 3. 大道院至東卯山登山口距離約1公里，需20分鐘步程。",,,7.7公里,1690公尺,東卯山步道.gpx
111,大雪山森林遊樂區森林浴步道,111-1.jpg,大雪山森林浴步道原名鞍馬山莊環站步道，由大雪山森林遊樂區的200林道41K進入步道，步道約與200林道平行，經小神木，環繞鞍馬山莊住宿區，最後由林道43K處遊客中心接回林道，是大雪山森林遊樂區內的主要休閒步道。大雪山森林遊樂區內具有豐富多樣的動植物資源，森林浴步道為大雪山森林遊樂區的縮影，走訪森林浴步道，可於最短時間領略此區的動植物風情。,大雪山森林浴步道原名鞍馬山莊環站步道，由大雪山森林遊樂區的200林道41K進入步道，步道約與200林道平行，經小神木，環繞鞍馬山莊住宿區，最後由林道43K處遊客中心接回林道，是大雪山森林遊樂區內的主要休閒步道。,"200林道41K步道入口→(0.6K, 15分鐘)→小神木→(0.1K, 2分鐘)→第一賓館叉路→(0.3K, 6分鐘)→第二賓館叉路→(1.1K, 22分鐘)→大雪山賓館叉路→(0.7K, 14分鐘)→小木屋區→(0.2K, 5分鐘)→200林道43K步道入口",1.17,台中市,和平區,1,0,500,"1.步道由200林道41公里處進入，43公里處出步道，或反向進出；若不想走原路返回，可直接走2公里的林道回到出發點，需時約30分鐘。亦可出至林道後過馬路至對面續行木馬古道環行回到森林浴步道出發點。
 
 2.大雪山森林遊樂區門票：全票200元，非假日150元，半票100元，小車100元。
 
 3.山區無加油站，需先加滿油再上山。",,,3公里,2250公尺,大雪山森林遊樂區森林浴步道.gpx
112,奇萊南峰步道,112-1.jpg,"位於南投和花蓮交界的奇萊南峰和南華山（又稱能高北峰）是台灣最容易親近的百岳之一，因位置相鄰，岳界常將二者搭配起來連走，合稱「奇萊南華」。大多數人都是經由坡度和緩、指標清楚、景觀絕佳的「能高越嶺道」西段進入山區，住宿天池山莊一晚後，隔天凌晨再輕裝前往兩座山頭；途中會經過天池岔路口、越過清淺的塔羅灣溪和之字形箭竹草坡後即可抵達奇萊南峰，早起者還有可能在山上看到光芒萬丈的日出雲海美景；回天池轉往南華山的途中，眼前盡是綿亙千里的綠地毯，周圍還有牛魔角卡賀爾山、能高、奇萊、雪山、合歡和干卓萬等群峰環繞，即使無法一一親臨，遠觀也是一種享受，續行可下切至「光被八表」紀念碑、走一小圈O型返回天池山莊。
 
 前身曾是「能高駐在所」和「天池保線所」的天池山莊在102年整建成為二層樓的綠建築，提供登山者舒適、寬敞和多元的休憩空間，讓更多民眾有機會走訪這條充滿人文史蹟與吊橋飛瀑的國家級步道、登上奇萊南華兩座百岳的殿堂，完成一趟穿越百年時空的高山古道之旅。",位於南投和花蓮交界的奇萊南峰和南華山（又稱能高北峰）是台灣最容易親近的百岳之一，因位置相鄰，岳界常將二者搭配起來連走，合稱「奇萊南華」。,"Day 1：屯原登山口→（4.5K,120分鐘）→雲海保線所→（8.6K,210分鐘）→天池山莊
 
 Day 2：天池山莊→（1K,60分鐘）→天池岔路→（2K,80分鐘）→奇萊南峰→（2K,55分鐘）→天池岔路→（1.4K,40分鐘）→南華山→（2K,50分鐘）→光被八表紀念碑→（2.5K,55分鐘）→天池山莊→（8.6K,180分鐘）→雲海保線所→（4.5K,100分鐘）→屯原登山口",48,南投縣,仁愛鄉,2,1,5000,"1.天池山莊需於住宿前5~60天在官網申請床位，不接受電話及現場預訂，每日限額88人，於住宿日前30日抽籤排定。
 2.能高越嶺道西段有多處崩塌地形，小心通過即可，但豪雨或颱風後應避免前往。
 3.屯原登山口前產業道路相當狹窄，且時常有當地農民之貨車往來，切勿將車輛停放路邊，以免阻礙交通甚至造成意外事故。登山口前設有停車場，請確實將車輛停放於停車場中，或是請部落民宿或當地發展協會協助接駁。",,,18.6公里,3358公尺,能高越嶺 奇萊南華.gpx
113,忘憂森林步道,113-1.jpg,"忘憂森林位於山林溪旁，經常處於霧氣氤氳的狀態，迷濛神秘，因此也被稱為迷霧森林。
 
 前往忘憂森林的路上，一旁是被雲霧層層包圍的茶園，恬靜的風光，令人不由自主在此佇足片刻，也對即將出現的景色更加期待。不久，枯樹水池沼澤赫然出現在眼前，這就是大名鼎鼎的忘憂森林了。上午，艷陽高照時，清澈水底的綠藻、湛藍的天空、綿綿的白雲加上矗立的枯木，看著眼前絕美的畫面，手指也不停按下快門。下午，雲霧繚繞，湖面水氣朦朧，柳杉隱隱若現，迷幻的氛圍再次佔用更多記憶體。
 
 擁有夢幻景色的忘憂森林，也很容易造訪，所以近年來成為拍攝廣告和婚紗的熱門景點。",忘憂森林位於山林溪旁，經常處於霧氣氤氳的狀態，迷濛神秘，因此也被稱為迷霧森林。,仁淵茶業旁的產業道路→(30分鐘)→鐵皮屋與指標→(5分鐘)→忘憂森林(折返)→(35分鐘)→產業道路入口,1.17,南投縣,鹿谷鄉,1,0,500,"1.步道濕滑泥濘，建議穿著防滑的鞋子、攜帶雨具。
 2.產業道路路段也可搭乘接駁車，車資約每人100元，可洽詢當地商家。
 3.忘憂森林可連接嶺頭山至金柑樹山後折返至杉林溪，全程約需4小時。也可經嶺頭山後，轉往溪頭，全程約需5小時。本區多條路線可連接，出發前請先查詢地圖。",,,1.3公里,1956公尺,忘憂森林.gpx
